ticker,company_name,ciq_company_id,ciq_company_name,exchange,sector,industry,match_method,match_confidence,is_primary_share_class,primary_ticker,related_tickers,mapping_status,notes,universe_as_of_date,mapping_verified_at,mapping_source,first_transcript_date,last_transcript_date,distinct_transcript_years,deduped_call_count,coverage_status,coverage_filter_reason,manual_keep_exception
CSGP,CoStar Group,387127,"CoStar Group, Inc.",Nasdaq,Real Estate,Real Estate,ticker_exchange_match,0.99,True,CSGP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=2,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2008-04-24,2025-10-28,18,71,keep_min10y,distinct_transcript_years_ge_10,False
CSX,CSX Corporation,257948,CSX Corporation,Nasdaq,Industrials,Railroads,ticker_exchange_match,0.99,True,CSX,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=20,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2007-07-18,2025-10-16,19,74,keep_min10y,distinct_transcript_years_ge_10,False
CTAS,Cintas,260725,Cintas Corporation,Nasdaq,Industrials,Garments & Clothing,ticker_exchange_match,0.99,True,CTAS,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2007-03-20,2025-12-18,19,76,keep_min10y,distinct_transcript_years_ge_10,False
CTSH,Cognizant,386024,Cognizant Technology Solutions Corporation,Nasdaq,Technology,EDP Services,ticker_exchange_match,0.99,True,CTSH,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-08-02,2025-10-29,20,76,keep_min10y,distinct_transcript_years_ge_10,False
DXCM,DexCom,114039,"DexCom, Inc.",Nasdaq,Health Care,Medical/Dental Instruments,ticker_exchange_match,0.99,True,DXCM,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2008-03-11,2025-10-30,18,71,keep_min10y,distinct_transcript_years_ge_10,False
EA,Electronic Arts,27963,Electronic Arts Inc.,Nasdaq,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,ticker_exchange_match,0.99,True,EA,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=13,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2005-11-01,2025-07-29,21,79,keep_min10y,distinct_transcript_years_ge_10,False
EXC,Exelon,296181,Exelon Corporation,Nasdaq,Utilities,Power Generation,ticker_exchange_match,0.99,True,EXC,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=26,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-07-31,2025-11-04,20,75,keep_min10y,distinct_transcript_years_ge_10,False
FANG,Diamondback Energy,170245760,"Diamondback Energy, Inc.",Nasdaq,Energy,Oil & Gas Production,ticker_exchange_match,0.99,True,FANG,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=8,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2013-05-08,2025-11-04,13,51,keep_min10y,distinct_transcript_years_ge_10,False
FAST,Fastenal,270747,Fastenal Company,Nasdaq,Industrials,Construction & Materials,ticker_exchange_match,0.99,True,FAST,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=17,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2007-10-11,2025-10-13,19,73,keep_min10y,distinct_transcript_years_ge_10,False
FER,Ferrovial,883809,Ferrovial SE,Nasdaq,Industrials,"Military, Government, Technical",ticker_exchange_match,0.99,True,FER,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=28,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2012-02-23,2025-10-29,13,50,keep_min10y,distinct_transcript_years_ge_10,False
