ticker,company_name,ciq_company_id,ciq_company_name,exchange,sector,industry,match_method,match_confidence,is_primary_share_class,primary_ticker,related_tickers,mapping_status,notes,universe_as_of_date,mapping_verified_at,mapping_source
CTAS,Cintas,260725,Cintas Corporation,Nasdaq,Industrials,Garments & Clothing,ticker_exchange_match,0.99,True,CTAS,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
CTSH,Cognizant,386024,Cognizant Technology Solutions Corporation,Nasdaq,Technology,EDP Services,ticker_exchange_match,0.99,True,CTSH,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
DASH,DoorDash,243735719,"DoorDash, Inc.",Nasdaq,Technology,EDP Services,ticker_exchange_match,0.99,True,DASH,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
DDOG,Datadog,134521275,"Datadog, Inc.",Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,DDOG,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=4,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
DXCM,DexCom,114039,"DexCom, Inc.",Nasdaq,Health Care,Medical/Dental Instruments,ticker_exchange_match,0.99,True,DXCM,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
EA,Electronic Arts,27963,Electronic Arts Inc.,Nasdaq,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,ticker_exchange_match,0.99,True,EA,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=13,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
EXC,Exelon,296181,Exelon Corporation,Nasdaq,Utilities,Power Generation,ticker_exchange_match,0.99,True,EXC,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=26,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
FANG,Diamondback Energy,170245760,"Diamondback Energy, Inc.",Nasdaq,Energy,Oil & Gas Production,ticker_exchange_match,0.99,True,FANG,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=8,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
FAST,Fastenal,270747,Fastenal Company,Nasdaq,Industrials,Construction & Materials,ticker_exchange_match,0.99,True,FAST,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=17,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
FER,Ferrovial,883809,Ferrovial N.V.,Nasdaq,Industrials,"Military, Government, Technical",ticker_exchange_match,0.99,True,FER,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=28,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
